Date,USA
1998-12,100
1999-01,107.989479
1999-02,108.364962
1999-03,115.933072
1999-04,121.743477
1999-05,120.142873
1999-06,128.013826
1999-07,119.786679
1999-08,120.470342
1999-09,115.397416
1999-10,125.576242
1999-11,132.350467
1999-12,142.754975
2000-01,138.127421
2000-02,136.536383
2000-03,152.414242
2000-04,154.664503
2000-05,147.929937
2000-06,146.948077
2000-07,149.121893
2000-08,162.494939
2000-09,156.349547
2000-10,161.923548
2000-11,144.223766
2000-12,134.548164
2001-01,139.062147
2001-02,127.251396
2001-03,124.853338
2001-04,133.121417
2001-05,140.451603
2001-06,137.925622
2001-07,132.840671
2001-08,117.30382
2001-09,109.095119
2001-10,111.609629
2001-11,122.654207
2001-12,124.844646
2002-01,124.889026
2002-02,122.933568
2002-03,125.574584
2002-04,113.732678
2002-05,108.165735
2002-06,94.2512722
2002-07,89.4273751
2002-08,88.6979954
2002-09,78.7770112
2002-10,85.5260084
2002-11,90.9010315
2002-12,80.6572384
2003-01,75.1451795
2003-02,74.5006173
2003-03,74.3310681
2003-04,79.3716962
2003-05,78.6634691
2003-06,82.5923838
2003-07,84.6199148
2003-08,89.9390952
2003-09,82.370789
2003-10,87.4633815
2003-11,85.0749541
2003-12,85.787587
2004-01,88.3102695
2004-02,89.1806079
2004-03,89.5926987
2004-04,90.9783576
2004-05,89.742045
2004-06,91.4665549
2004-07,89.5069942
2004-08,89.2751942
2004-09,87.0480601
2004-10,86.1910651
2004-11,86.4818083
2004-12,87.9633968
2005-01,89.3859235
2005-02,89.1719311
2005-03,89.372575
2005-04,88.2991962
2005-05,95.8909374
2005-06,97.7942844
2005-07,101.103104
2005-08,99.4227572
2005-09,101.601348
2005-10,100.181493
2005-11,106.315162
2005-12,106.964805
2006-01,106.736639
2006-02,108.826203
2006-03,107.524644
2006-04,105.684823
2006-05,99.6692918
2006-06,100.530097
2006-07,100.313248
2006-08,102.131266
2006-09,106.587463
2006-10,109.488009
2006-11,107.763559
2006-12,108.817316
2007-01,112.724419
2007-02,108.817552
2007-03,108.345068
2007-04,110.725323
2007-05,116.807091
2007-06,113.585025
2007-07,108.841247
2007-08,110.787396
2007-09,110.876919
2007-10,110.319423
2007-11,103.676676
2007-12,102.053112
2008-01,95.6351047
2008-02,90.1811462
2008-03,86.541226
2008-04,92.0455776
2008-05,94.1565847
2008-06,84.9595667
2008-07,84.1183878
2008-08,91.2654342
2008-09,85.2696093
2008-10,79.7935101
2008-11,73.463123
2008-12,67.878856
2009-01,67.8535234
2009-02,61.0612903
2009-03,63.0678797
2009-04,69.3472752
2009-05,69.240929
2009-06,69.6771128
2009-07,74.2235224
2009-08,76.2980388
2009-09,76.428905
2009-10,74.2524537
2009-11,77.3500791
2009-12,82.0221357
2010-01,82.9005013
2010-02,87.5205205
2010-03,93.6664045
2010-04,95.9654745
2010-05,95.2360378
2010-06,90.8072481
2010-07,91.468292
2010-08,89.2858943
2010-09,90.9622792
2010-10,92.0989898
2010-11,98.725276
2010-12,102.58901
2011-01,102.564109
2011-02,104.360371
2011-03,101.643348
2011-04,100.346103
2011-05,102.593986
2011-06,100.974749
2011-07,99.4155607
2011-08,92.2317804
2011-09,92.4543028
2011-10,98.9119462
2011-11,102.051006
2011-12,107.490306
2012-01,110.425609
2012-02,112.308839
2012-03,117.44646
2012-04,117.477811
2012-05,117.479876
2012-06,120.155272
2012-07,124.349811
2012-08,124.545995
2012-09,124.202774
2012-10,121.337016
2012-11,122.829238
2012-12,121.015561
2013-01,124.184653
2013-02,129.62863
2013-03,138.955476
2013-04,137.047348
2013-05,141.214087
2013-06,138.770615
2013-07,143.709368
2013-08,140.322975
2013-09,141.136518
2013-10,146.791769
2013-11,150.90134
2013-12,152.4392
2014-01,150.114669
2014-02,154.953885
2014-03,155.687014
2014-04,155.514129
2014-05,162.05679
2014-06,164.829818
2014-07,165.927193
2014-08,175.449934
2014-09,180.123651
2014-10,185.756778
2014-11,191.928531
2014-12,195.785485
2015-01,204.587882
2015-02,217.0258
2015-03,223.342231
2015-04,216.368235
2015-05,224.701954
2015-06,215.195828
2015-07,224.622311
2015-08,205.800139
2015-09,200.443901
2015-10,220.532384
2015-11,230.151811
2015-12,219.2596
2016-01,207.394777
2016-02,207.461531
2016-03,211.501899
2016-04,212.893068
2016-05,221.466076
2016-06,222.456635
2016-07,230.824509
2016-08,230.656074
2016-09,230.164512
2016-10,230.057565
2016-11,245.865839
2016-12,251.75647
2017-01,251.989992
2017-02,265.200975
2017-03,263.392299
2017-04,260.770578
2017-05,256.944101
2017-06,253.73067
2017-07,252.740454
2017-08,250.210213
2017-09,256.499375
2017-10,265.071878
2017-11,268.220931
2017-12,268.785886
2018-01,272.265518
2018-02,267.772183
2018-03,259.520454
2018-04,265.177945
2018-05,280.146488
2018-06,283.054959
2018-07,291.224281
2018-08,302.652334
2018-09,306.003025
2018-10,291.461663
2018-11,295.370421
2018-12,266.388621
2019-01,287.062473
2019-02,298.008114
2019-03,309.991706
2019-04,321.780689
2019-05,303.258824
2019-06,317.610778
2019-07,329.842683
2019-08,326.101819
2019-09,336.65475
2019-10,335.047073
2019-11,353.686709
2019-12,355.078024
2020-01,362.441764
2020-02,334.678132
2020-03,292.102304
2020-04,333.337073
2020-05,342.694934
2020-06,348.984293
2020-07,348.101517
2020-08,371.110509
2020-09,364.042775
2020-10,355.07491
2020-11,387.050536
2020-12,393.494845
2021-01,393.193885
2021-02,404.378701
2021-03,433.649701
2021-04,443.41723
2021-05,441.402131
2021-06,465.696271
2021-07,476.598982
2021-08,492.788062
2021-09,479.119571
2021-10,509.038146
2021-11,516.78475
2021-12,538.733693
2022-01,515.843421
2022-02,498.36048
2022-03,520.238679
2022-04,498.074114
2022-05,489.31844
2022-06,462.297237
2022-07,514.719005
2022-08,504.473461
2022-09,469.226819
2022-10,497.307852
2022-11,501.513819
2022-12,458.757698
2023-01,481.739743
2023-02,478.090814
2023-03,483.184508
2023-04,485.94446
2023-05,501.055713
2023-06,525.552758
2023-07,536.627861
2023-08,534.61917
2023-09,522.160803
2023-10,508.522725
2023-11,540.311701
2023-12,559.964218
2024-01,579.437582
2024-02,611.876458
2024-03,631.934414
2024-04,610.468351
2024-05,631.264569
2024-06,662.533926
2024-07,663.853728
2024-08,662.451004
2024-09,670.930898
2024-10,684.762018
2024-11,749.623758
2024-12,741.018389
